0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
129.18,134.14,157.07,203.62,253.8,272.68,403.95,417.94,153.0,118.81,0.0,532.38,582.7,783.8,783.8,797.33,843.59,1166.78,1045.52,1027.05,1013.73,1329.31,1329.31,825.28,208.39,190.35,159.81,156.75,105.34,489.95,445.52,387.72,358.23,352.47,449.28,457.04,1531.11,1531.11,1749.42,643.49,647.99,647.99,1031.11,118.32,188.58,111.54,194.21,223.25,260.79,417.14,437.96,456.26,498.39,946.03,264.5,225.68,225.68,225.68,225.68,451.66,467.17,477.22,566.38,780.12,736.82,747.72,755.31,772.01,629.21,611.17,653.96,700.54,637.33,657.44,693.67,674.03,832.31,340.26,388.99,844.26,870.85,1170.06,1493.85,1531.32,280.68,354.07,263.88,240.02,224.1,236.49,315.38,346.68,353.45,369.49,375.55,398.66,401.7,419.17,448.77,479.29,666.83,728.29,798.84,779.02,1246.9,944.96
622.04,602.43,731.05,681.22,718.92,737.8,832.73,829.96,735.13,428.63,532.38,0.0,50.32,1255.08,1255.08,1268.61,1314.87,1606.27,1552.14,1533.67,1520.35,1768.79,1768.79,1277.21,642.17,660.21,690.75,693.8,637.68,628.43,659.31,717.11,746.6,752.37,920.56,928.31,2099.27,2099.27,2188.91,1114.77,1119.27,1119.27,1470.6,541.37,440.61,643.88,726.56,755.59,793.13,993.9,1014.72,1033.03,1074.85,1267.12,267.89,540.42,540.42,540.42,540.42,766.41,781.91,791.96,881.12,1094.86,1051.57,1062.46,1070.05,1120.48,1135.83,1117.79,1195.82,1171.82,721.75,741.85,764.56,784.2,1100.62,655.0,906.05,1285.94,1259.35,1609.55,1881.56,1918.95,604.88,531.48,621.68,645.53,661.46,743.11,822.0,853.3,860.07,876.11,882.17,905.28,908.32,925.79,955.39,985.91,1173.45,1234.91,1106.05,1134.73,1686.38,1451.58
708.63,530.21,680.73,630.9,668.6,687.48,782.41,779.64,684.81,478.95,582.7,50.32,0.0,1204.76,1204.76,1218.29,1264.55,1555.95,1501.82,1483.35,1470.03,1718.47,1718.47,1226.89,692.49,710.53,741.07,744.12,688.0,578.11,608.99,666.79,696.28,702.05,870.24,877.99,2048.95,2048.95,2138.59,1064.45,1068.95,1068.95,1420.28,469.15,368.39,694.2,776.87,805.91,843.45,1044.22,1065.04,1083.35,1125.17,1317.43,318.21,590.74,590.74,590.74,590.74,816.73,832.23,842.28,931.44,1145.18,1101.89,1112.78,1120.37,1170.79,1085.51,1067.47,1145.5,1121.5,671.43,691.53,714.24,733.88,1050.3,705.32,956.37,1300.56,1327.15,1559.23,1831.24,1868.63,554.56,481.16,571.36,595.21,611.14,692.79,771.68,802.98,809.75,825.79,831.85,854.96,858.0,875.47,905.07,935.59,1123.13,1184.59,1055.73,1084.41,1636.07,1401.26
639.2,641.54,611.31,580.27,530.35,511.47,498.21,533.76,615.38,902.58,783.8,1255.08,1204.76,0.0,0.0,200.84,202.4,427.4,344.48,493.43,480.1,521.02,521.02,282.0,867.82,849.78,819.24,816.19,764.77,628.18,595.78,537.98,508.49,502.73,334.56,326.8,718.55,718.55,1206.35,226.66,231.16,231.16,488.04,720.73,822.38,733.49,809.59,838.62,621.57,472.67,451.9,433.59,413.75,412.41,1035.62,900.71,900.71,900.71,900.71,674.83,659.33,649.28,559.98,531.25,425.89,415.0,371.09,390.55,272.43,254.39,160.34,136.34,676.07,655.96,633.26,613.62,438.45,786.09,552.77,310.63,337.22,626.99,950.77,988.25,644.85,718.25,628.05,604.2,588.27,591.59,498.98,467.68,460.91,444.86,438.81,415.7,412.66,395.19,365.59,335.07,262.07,322.12,401.78,347.29,703.83,196.97
639.2,641.54,611.31,580.27,530.35,511.47,498.21,533.76,615.38,902.58,783.8,1255.08,1204.76,0.0,0.0,200.84,202.4,427.4,344.48,493.43,480.1,521.02,521.02,282.0,867.82,849.78,819.24,816.19,764.77,628.18,595.78,537.98,508.49,502.73,334.56,326.8,718.55,718.55,1206.35,226.66,231.16,231.16,488.04,720.73,822.38,733.49,809.59,838.62,621.57,472.67,451.9,433.59,413.75,412.41,1035.62,900.71,900.71,900.71,900.71,674.83,659.33,649.28,559.98,531.25,425.89,415.0,371.09,390.55,272.43,254.39,160.34,136.34,676.07,655.96,633.26,613.62,438.45,786.09,552.77,310.63,337.22,626.99,950.77,988.25,644.85,718.25,628.05,604.2,588.27,591.59,498.98,467.68,460.91,444.86,438.81,415.7,412.66,395.19,365.59,335.07,262.07,322.12,401.78,347.29,703.83,196.97
652.73,655.07,624.84,593.8,543.88,525.0,511.74,547.29,628.91,916.11,797.33,1268.61,1218.29,200.84,200.84,0.0,46.26,408.0,305.07,451.57,438.24,501.62,501.62,322.85,946.8,863.31,832.77,829.72,778.3,641.71,609.32,551.51,522.02,516.26,348.09,340.33,699.14,699.14,1191.23,240.19,244.69,244.69,472.92,734.26,835.91,747.02,823.12,852.15,635.1,486.2,465.43,447.12,427.28,370.55,1049.15,1014.32,1014.32,1014.32,1014.32,788.44,772.94,762.89,673.6,489.4,439.42,428.53,384.62,404.08,285.96,267.92,173.87,149.87,692.94,672.83,650.12,630.48,479.29,899.71,566.3,268.78,295.36,611.87,935.66,973.13,658.38,731.78,641.58,617.73,601.8,605.12,512.51,481.21,474.44,458.39,452.34,429.23,426.19,408.72,379.12,348.6,275.6,280.26,442.62,388.13,688.71,177.56
698.99,701.33,671.1,640.06,590.14,571.26,557.99,593.55,675.17,962.36,843.59,1314.87,1264.55,202.4,202.4,46.26,0.0,361.74,258.81,405.32,391.99,455.36,455.36,374.72,900.54,918.58,879.03,875.98,824.56,687.96,655.57,597.77,568.28,562.52,394.35,386.59,652.89,652.89,1144.97,286.45,290.95,290.95,426.66,780.52,882.17,793.28,869.37,898.41,681.36,532.46,511.68,493.38,473.53,324.3,1095.41,968.06,968.06,968.06,968.06,742.19,726.68,716.64,627.34,443.14,482.73,471.84,464.16,447.39,332.21,314.17,220.13,196.13,739.19,719.08,696.38,676.74,525.55,853.45,772.79,222.52,249.11,565.62,889.4,926.88,704.64,778.04,687.84,663.98,648.06,651.38,558.76,527.47,520.7,504.65,498.6,475.48,472.45,454.97,425.37,394.86,295.47,234.01,488.88,434.39,642.45,131.3
1022.18,1024.52,994.29,963.25,913.33,894.45,860.32,895.88,998.36,1285.56,1166.78,1606.27,1555.95,427.4,427.4,408.0,361.74,0.0,198.18,216.65,229.98,281.83,281.83,341.71,1181.95,1200.0,1202.22,1199.17,1147.75,990.29,978.77,920.96,891.47,885.71,740.05,732.3,612.31,612.31,701.95,672.78,677.28,677.28,178.03,1103.71,1205.36,1116.47,1192.57,1221.6,1182.41,902.08,881.31,863.0,843.16,543.39,1418.6,1249.48,1249.48,1249.48,1249.48,1023.6,1008.1,998.05,908.76,724.56,764.15,753.26,745.57,728.8,701.84,683.8,609.35,585.35,879.34,859.23,836.52,816.88,609.23,1134.87,1054.2,503.94,530.52,316.99,521.23,483.85,1027.83,1101.23,1011.03,987.18,971.25,974.57,928.39,897.09,890.32,874.27,868.22,845.11,842.07,824.6,795.0,764.48,576.88,515.42,572.55,471.54,345.38,230.89
900.92,948.84,873.03,870.93,889.76,909.52,896.26,931.81,877.11,1171.53,1045.52,1552.14,1501.82,344.48,344.48,305.07,258.81,198.18,0.0,18.47,31.8,288.06,288.06,539.75,983.77,1001.82,1032.36,1035.41,1026.5,1026.22,993.83,936.03,906.54,900.78,732.61,724.85,485.59,485.59,899.99,536.19,531.69,531.69,376.08,982.46,1084.11,995.22,1071.31,1021.77,984.23,703.9,683.13,664.82,644.98,345.21,1323.81,1051.3,1051.3,1051.3,1051.3,825.42,809.92,799.87,710.58,526.38,565.97,555.08,547.39,530.62,503.66,485.62,480.43,504.42,1077.38,1057.27,1034.57,1014.93,807.27,936.69,856.02,305.76,332.34,515.03,719.28,681.89,947.99,1021.39,931.19,907.33,891.41,809.1,730.21,698.91,692.14,676.09,670.04,646.93,643.89,626.42,596.82,566.3,378.7,317.24,770.6,669.58,543.42,147.97
882.45,930.37,854.56,852.46,871.29,891.05,877.79,913.34,858.64,1153.05,1027.05,1533.67,1483.35,493.43,493.43,451.57,405.32,216.65,18.47,0.0,13.33,306.53,306.53,558.22,965.3,983.35,1013.89,1016.94,1008.03,1007.75,975.36,917.56,888.07,882.31,714.14,706.38,504.06,504.06,918.46,517.72,513.22,513.22,394.55,963.99,1065.64,976.75,1052.84,1003.3,965.76,685.43,664.66,646.35,626.51,326.74,1305.34,1032.83,1032.83,1032.83,1032.83,806.95,791.45,781.4,692.11,507.91,547.5,536.61,528.92,512.15,485.19,467.15,461.95,485.95,1155.14,1075.74,1053.04,1033.4,825.74,918.22,837.55,287.29,313.87,533.5,737.75,700.36,929.52,1002.92,912.72,888.86,872.94,790.63,711.74,680.44,673.67,657.62,651.57,628.46,625.42,607.95,578.35,547.83,360.23,298.77,789.07,688.05,561.9,166.44
869.13,917.04,841.23,839.13,857.96,877.72,864.46,900.01,845.31,1139.73,1013.73,1520.35,1470.03,480.1,480.1,438.24,391.99,229.98,31.8,13.33,0.0,319.86,319.86,571.55,951.97,970.02,1000.56,1003.61,994.7,994.43,962.04,904.23,874.74,868.98,700.81,693.05,517.39,517.39,931.79,504.39,499.89,499.89,407.87,950.66,1052.31,963.42,1039.51,989.97,952.43,672.1,651.33,633.02,613.18,313.41,1292.01,1019.5,1019.5,1019.5,1019.5,793.62,778.12,768.07,678.78,494.58,534.17,523.28,515.6,498.83,471.86,453.82,448.63,472.63,1141.81,1071.9,1049.2,1029.55,839.07,904.89,824.22,273.96,300.54,546.83,751.07,713.69,916.19,989.59,899.39,875.53,859.61,777.3,698.41,667.11,660.34,644.3,638.24,615.13,612.09,594.62,565.02,534.5,346.91,285.44,802.4,701.38,575.22,179.76
1184.71,1187.05,1156.81,1125.77,1075.85,1056.97,1022.84,1058.4,1160.89,1448.08,1329.31,1768.79,1718.47,521.02,521.02,501.62,455.36,281.83,288.06,306.53,319.86,0.0,0.0,504.23,1271.83,1289.88,1364.75,1361.69,1310.28,1152.81,1141.29,1083.49,1054.0,1048.23,902.58,894.82,374.37,374.37,613.53,835.3,839.8,839.8,300.42,1266.24,1367.89,1279.0,1355.09,1384.12,1272.29,991.96,971.19,952.88,933.04,633.27,1581.13,1339.36,1339.36,1339.36,1339.36,1113.48,1097.98,1087.93,998.64,814.44,854.03,843.14,835.45,818.68,791.72,773.68,771.87,747.87,1041.86,1021.75,999.05,979.41,771.75,1224.75,1144.08,593.82,620.4,361.83,432.82,395.43,1190.35,1263.75,1173.56,1149.7,1133.77,1137.1,1018.27,986.97,980.2,964.15,958.1,934.99,931.95,914.48,884.88,854.36,666.76,605.3,735.08,634.06,342.12,324.5
1184.71,1187.05,1156.81,1125.77,1075.85,1056.97,1022.84,1058.4,1160.89,1448.08,1329.31,1768.79,1718.47,521.02,521.02,501.62,455.36,281.83,288.06,306.53,319.86,0.0,0.0,504.23,1271.83,1289.88,1364.75,1361.69,1310.28,1152.81,1141.29,1083.49,1054.0,1048.23,902.58,894.82,374.37,374.37,613.53,835.3,839.8,839.8,300.42,1266.24,1367.89,1279.0,1355.09,1384.12,1272.29,991.96,971.19,952.88,933.04,633.27,1581.13,1339.36,1339.36,1339.36,1339.36,1113.48,1097.98,1087.93,998.64,814.44,854.03,843.14,835.45,818.68,791.72,773.68,771.87,747.87,1041.86,1021.75,999.05,979.41,771.75,1224.75,1144.08,593.82,620.4,361.83,432.82,395.43,1190.35,1263.75,1173.56,1149.7,1133.77,1137.1,1018.27,986.97,980.2,964.15,958.1,934.99,931.95,914.48,884.88,854.36,666.76,605.3,735.08,634.06,342.12,324.5
